CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,WHOIS_REGDATE_YEAR,WHOIS_REGDATE_MONTH,WHOIS_REGDATE_DAY,WHOIS_REGDATE_HOUR,WHOIS_REGDATE_MINUTE,WHOIS_UPDATED_DATE_YEAR,WHOIS_UPDATED_DATE_MONTH,WHOIS_UPDATED_DATE_DAY,WHOIS_UPDATED_DATE_HOUR,WHOIS_UPDATED_DATE_MINUTE,Type
ISO-8859-1,NGINX,,,16,7,263.0,7,0,2,700,9,10,1153,832,9,2.0,2015,10,10,18,21,,,,,,1
UTF-8,OTHER,,,16,6,15087.0,17,7,4,1230,17,19,1265,1230,17,0.0,,,,,,,,,,,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,16,6,324.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,0
ISO-8859-1,NGINX,US,OTHER,17,6,162.0,31,22,3,3812,39,37,18784,4380,39,8.0,1997,7,10,4,0,2013,12,9,0,45,0
UTF-8,,US,OTHER,17,6,124140.0,57,2,5,4278,61,62,129889,4586,61,4.0,1996,12,5,0,0,2017,11,4,0,0,0
UTF-8,NGINX,OTHER,OTHER,18,7,,11,6,9,894,11,13,838,894,11,0.0,2016,3,8,14,30,2016,3,10,3,45,0
ISO-8859-1,OTHER,US,OTHER,18,6,345.0,12,0,3,1189,14,13,8559,1327,14,2.0,2002,7,29,0,0,2016,1,7,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,FL,19,6,324.0,0,0,0,0,0,0,0,0,0,0.0,1997,3,18,0,0,2017,3,19,0,0,0
UTF-8,OTHER,,,20,5,,0,0,0,0,2,3,213,146,2,2.0,2014,8,11,7,41,,,,,,1
UTF-8,OTHER,,,20,5,,0,0,0,0,2,1,62,146,2,2.0,2014,8,11,7,41,,,,,,1
UTF-8,APACHE,US,OTHER,20,6,,0,0,0,0,0,0,0,0,0,0.0,2007,9,14,0,0,2015,9,9,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,20,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2016,11,22,0,0,2016,11,23,0,0,0
UTF-8,,OTHER,,20,7,13716.0,16,6,8,1492,20,20,2334,1784,20,4.0,2002,11,10,0,0,2016,6,10,0,0,0
